Date,Open,High,Low,Close,Volume,FearGreedIndex,SMA5,SMA20,RSI14,MACD,MACD_Signal,MACD_Histogram,ATR14,BB_Middle,BB_Upper,BB_Lower
2018-06-10,7499.5498046875,7499.5498046875,6709.06982421875,6786.02001953125,5804839936,24.0,7455.02802734375,7511.448510742188,29.08187234077026,-251.58695257259205,-251.97389152357627,0.3869389509842165,301.8707166047298,7511.448510742188,7991.70155667928,7031.195464805096
2018-06-11,6799.2900390625,6910.18017578125,6706.6298828125,6906.919921875,4745269760,15.0,7305.616015625,7454.705517578125,32.58246054910482,-279.6711068933164,-257.5133345975243,-22.157772295792086,294.84782920215986,7454.705517578125,7939.065538498729,6970.345496657521
2018-06-12,6905.81982421875,6907.9599609375,6542.080078125,6582.35986328125,4654380032,19.0,7086.43994140625,7405.93251953125,28.513462107976693,-324.37805746668073,-270.8862791713556,-53.491778295325105,299.9215473171841,7405.93251953125,8018.435813056778,6793.429226005723
2018-06-13,6596.8798828125,6631.66015625,6285.6298828125,6349.89990234375,5052349952,19.0,6831.4359375,7344.060522460937,26.00820766866994,-374.2520691021746,-291.5594371575194,-82.69263194465515,303.21502775434953,7344.060522460937,8103.209363433824,6584.91168148805
2018-06-14,6342.75,6707.14013671875,6334.4599609375,6675.35009765625,5138710016,17.0,6660.1099609375,7303.821020507812,34.66344848272746,-383.10032965659684,-309.8676156573349,-73.23271399926193,308.17682404198524,7303.821020507812,8113.488413235171,6494.1536277804535
2018-06-15,6674.080078125,6681.080078125,6433.8701171875,6456.580078125,3955389952,26.0,6594.22197265625,7258.856030273438,31.95728840612726,-403.1186512540744,-328.5178227766828,-74.60082847739159,303.82204810595056,7258.856030273438,8147.954058232031,6369.758002314845
2018-06-16,6455.4501953125,6592.490234375,6402.2900390625,6550.16015625,3194170112,22.0,6522.87001953125,7217.95302734375,34.31939316403333,-406.7434992506269,-344.1629580714716,-62.58054117915526,295.70620147784695,7217.95302734375,8157.0275420247835,6278.878512662717
2018-06-17,6545.52978515625,6589.10986328125,6499.27001953125,6499.27001953125,3104019968,23.0,6506.25205078125,7186.117016601563,33.63555854464059,-409.0078383679338,-357.1319341307641,-51.87590423716972,281.0014616401436,7186.117016601563,8175.947452111073,6196.286581092052
2018-06-18,6510.06982421875,6781.14013671875,6446.68017578125,6734.81982421875,4039200000,27.0,6583.23603515625,7149.228515625,39.63147863357569,-387.33053743499204,-363.1716547916097,-24.158882643382356,284.81992587566907,7149.228515625,8148.549154897198,6149.907876352802
2018-06-19,6742.39013671875,6822.5,6709.919921875,6769.93994140625,4057029888,32.0,6602.15400390625,7117.39951171875,40.494723023928124,-363.1312690943969,-363.16357765216713,0.03230855777024999,272.5170796077642,7117.39951171875,8122.44755983727,6112.351463600229
2018-06-20,6770.759765625,6821.56005859375,6611.8798828125,6776.5498046875,3888640000,34.0,6666.14794921875,7081.518505859375,40.66668919143837,-339.5061977499072,-358.43210167171515,18.925903921807958,268.0287293344417,7081.518505859375,8081.426656073044,6081.6103556457065
2018-06-21,6780.08984375,6810.93994140625,6715.169921875,6729.740234375,3529129984,37.0,6702.06396484375,7040.9330078125,39.78971814414274,-320.8616067471021,-350.91800268679253,30.056395939690447,255.72453577707088,7040.9330078125,8028.692966973599,6053.173048651402
2018-06-22,6737.8798828125,6747.080078125,6006.60009765625,6083.68994140625,5079810048,28.0,6618.94794921875,6962.944995117187,30.13172671657763,-354.1342541840395,-351.5612529862419,-2.5730011977975664,290.3499246836194,6962.944995117187,7993.4781977920275,5932.411792442347
